"","zip3","mean_flood_value","median_flood_value","max_flood_value","inundation_exposure","total_population","year","weighted_percent_wells"
"141","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,506026,2021,4.23946742291331
"142","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,506005,2022,4.23946742291331
"143","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,509286,2023,4.23946742291331
"144","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,509286,2024,4.23946742291331
"145","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,633956,2016,30.5627238087956
"146","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,636124,2017,30.5627238087956
"147","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,638283,2018,30.5627238087956
"148","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,640890,2019,30.5627238087956
"149","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,642293,2020,30.5627238087956
"150","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,633916,2021,30.5627238087956
"151","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,636176,2022,30.5627238087956
"152","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,638728,2023,30.5627238087956
"153","286",0.637153312421931,0.695103166221334,0.996696901154393,TRUE,638728,2024,30.5627238087956
"154","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,549777,2016,45.1822325054698
"155","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,551549,2017,45.1822325054698
"156","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,553927,2018,45.1822325054698
"157","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,557818,2019,45.1822325054698
"158","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,565267,2020,45.1822325054698
"159","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,563928,2021,45.1822325054698
"160","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,569765,2022,45.1822325054698
"161","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,572725,2023,45.1822325054698
"162","287",0.456242507236208,0.256999317113677,0.945560761383487,FALSE,572725,2024,45.1822325054698
"163","288",0.582828424089794,0.837640586630221,1,TRUE,125689,2016,0.635473509036727
"164","288",0.582828424089794,0.837640586630221,1,TRUE,128461,2017,0.635473509036727
"165","288",0.582828424089794,0.837640586630221,1,TRUE,132096,2018,0.635473509036727
"166","288",0.582828424089794,0.837640586630221,1,TRUE,134341,2019,0.635473509036727
